Package_name
com.ali.money.shield
com.android.haitong
com.taobao.qianniu
com.cwtcn.kt
com.alpha.lago
com.jiayuan
com.taobao.mobile.dipei
com.qq.qcloud
cn.eclicks.wzsearch
com.wbitech.medicine
com.greenpoint.android.mc10086.activity
com.hlg.daydaytobusiness
com.cmcm.gamemaster
com.fenqile.fenqile
com.tinmanarts.JoJoSherlock
com.baidu.baidutranslate
com.yiqizuoye.jzt
cn.mchang
com.baidu.searchbox
com.tencent.karaoke
com.yunjibuyer.yunji
com.rrh.jdb
com.tencent.tv.qie
com.kaola
cn.mifengkong.huaxiaapp
com.xhqb.app
com.duowan.yylove
com.jym.mall
com.taobao.trip
com.changba
ctrip.android.view
com.sina.weibo
com.babytree.apps.lama
com.wali.live
com.A17zuoye.mobile.homework
com.tencent.tgp
